aircraft_model,registration,delivered,config,ife,wifi,power,J,F,PP,E+,Y,aircraft_image,aircraft_seatmap
Airbus A319,N801UA,1997,12F/36E+/78Y,AVOD,Satl Ku,110/USB,NA,12,NA,36,78,https://media.united.com/assets/m/7c9ce478782db0ed/original/Airbus-A319-2x.png,https://media.united.com/assets/m/6c2619139fcc1674/original/Airbus-319_SeatMap.png
Airbus A319,N802UA,1997,12F/36E+/78Y,PDE,Satl Ku,F/E+,NA,12,NA,36,78,https://media.united.com/assets/m/7c9ce478782db0ed/original/Airbus-A319-2x.png,https://media.united.com/assets/m/6c2619139fcc1674/original/Airbus-319_SeatMap.png
Airbus A319,N803UA,1997,12F/36E+/78Y,PDE,Satl Ku,F/E+,NA,12,NA,36,78,https://media.united.com/assets/m/7c9ce478782db0ed/original/Airbus-A319-2x.png,https://media.united.com/assets/m/6c2619139fcc1674/original/Airbus-319_SeatMap.png
Airbus A319,N804UA,1997,12F/36E+/78Y,PDE,Satl Ku,F/E+,NA,12,NA,36,78,https://media.united.com/assets/m/7c9ce478782db0ed/original/Airbus-A319-2x.png,https://media.united.com/assets/m/6c2619139fcc1674/original/Airbus-319_SeatMap.png
Airbus A319,N805UA,1998,12F/36E+/78Y,PDE,Satl Ku,F/E+,NA,12,NA,36,78,https://media.united.com/assets/m/7c9ce478782db0ed/original/Airbus-A319-2x.png,https://media.united.com/assets/m/6c2619139fcc1674/original/Airbus-319_SeatMap.png
Airbus A319,N806UA,1998,12F/36E+/78Y,PDE,Satl Ku,F/E+,NA,12,NA,36,78,https://media.united.com/assets/m/7c9ce478782db0ed/original/Airbus-A319-2x.png,https://media.united.com/assets/m/6c2619139fcc1674/original/Airbus-319_SeatMap.png
Airbus A319,N807UA,1998,12F/36E+/78Y,PDE,Satl Ku,F/E+,NA,12,NA,36,78,https://media.united.com/assets/m/7c9ce478782db0ed/original/Airbus-A319-2x.png,https://media.united.com/assets/m/6c2619139fcc1674/original/Airbus-319_SeatMap.png
Airbus A319,N808UA,1998,12F/36E+/78Y,PDE,Satl Ku,F/E+,NA,12,NA,36,78,https://media.united.com/assets/m/7c9ce478782db0ed/original/Airbus-A319-2x.png,https://media.united.com/assets/m/6c2619139fcc1674/original/Airbus-319_SeatMap.png
Airbus A319,N809UA,1998,12F/36E+/78Y,PDE,Satl Ku,F/E+,NA,12,NA,36,78,https://media.united.com/assets/m/7c9ce478782db0ed/original/Airbus-A319-2x.png,https://media.united.com/assets/m/6c2619139fcc1674/original/Airbus-319_SeatMap.png
Airbus A319,N810UA,1998,12F/36E+/78Y,PDE,Satl Ku,F/E+,NA,12,NA,36,78,https://media.united.com/assets/m/7c9ce478782db0ed/original/Airbus-A319-2x.png,https://media.united.com/assets/m/6c2619139fcc1674/original/Airbus-319_SeatMap.png
Airbus A319,N811UA,1998,12F/36E+/78Y,PDE,Satl Ku,F/E+,NA,12,NA,36,78,https://media.united.com/assets/m/7c9ce478782db0ed/original/Airbus-A319-2x.png,https://media.united.com/assets/m/6c2619139fcc1674/original/Airbus-319_SeatMap.png
Airbus A319,N812UA,1998,12F/36E+/78Y,PDE,Satl Ku,F/E+,NA,12,NA,36,78,https://media.united.com/assets/m/7c9ce478782db0ed/original/Airbus-A319-2x.png,https://media.united.com/assets/m/6c2619139fcc1674/original/Airbus-319_SeatMap.png
Airbus A319,N813UA,1998,12F/36E+/78Y,PDE,Satl Ku,F/E+,NA,12,NA,36,78,https://media.united.com/assets/m/7c9ce478782db0ed/original/Airbus-A319-2x.png,https://media.united.com/assets/m/6c2619139fcc1674/original/Airbus-319_SeatMap.png
